"Export Orders","Management Report"
"Orders Export","Orders Export"
"Order Date","Order Date"
"First name","First name"
"Last Name","Last Name"
"Zip","Zip"
"City","City"
"SKU","SKU"
"Product Name","Product Name"
"Price netto","Price netto"
"QTY Ordered","QTY Ordered"
"Subtotal netto","Subtotal netto"
"Export","Export"
"From","From"
"till","till"
"Order Number","Order Number"
