"0000012";"base";"iPhone 5 16 Go - blanc";"";"48.0000";"1";"750.0000";"2013-12-18 00:00:00";"2013-12-25 00:00:00";"699.0000"
"0000013";"base";"HTC One Silver 32GB";"4718487630493";"47.0000";"1";"467.0000";"";"";""
"0000014";"base";"HTC Desire 200 (102e) Black";"4710937385793";"20.0000";"1";"95.0000";"";"";""
"0000015";"base";"HTC One Max (803s) Silver";"4718487639755";"35.0000";"1";"564.0000";"";"";""
"0000016";"base";"Apple Iphone 5C blanc 16GB";"3305912509380";"15.0000";"1";"525.0000";"";"";""
"EB-L1G6LLU";"base";"Batterie d'origine Samsung Galaxy S3/I9300 EB-L1G6LLU";"5711045448560";"497.0000";"1";"20.0000";"";"";""
"EB-F1A2GBU";"base";"Batterie galaxy S2 (GT-i9200) EB-F1A2GBU";"8806071517919";"50.0000";"0";"20.0000";"";"";""
"EB494358VU";"base";"Batterie samsung galaxy ACE (GT- S5850)  1350 mAh";"8806071410173";"200.0000";"1";"20.0000";"";"";""
"0000017";"base";"BlackBerry Z10 4G LTE Noir";"0802975663712";"23.0000";"1";"256.0000";"";"";""
"0000018";"base";"BlackBerry Z30 Noir";"0802975053506";"59.0000";"1";"463.0000";"";"";""
"0000019";"base";"Nokia Lumia 920 Rouge";"6438158528505";"0.0000";"0";"335.0000";"";"";""
"0000020";"base";"Nokia Lumia 1020 Blanc";"6438158606999";"47.0000";"1";"499.0000";"";"";""
"0000021";"base";"Nokia Lumia 1020 Noir";"6438158606920";"50.0000";"1";"499.0000";"";"";""
"0000022";"base";"Nokia Lumia 1520 Noir";"6438158622067";"42.0000";"1";"510.0000";"";"";""
"0000023";"base";"Samsung Galaxy S4 Mini 3G Noir (i9190)";"5055147594863";"50.0000";"1";"309.0000";"";"";""
"0000024";"base";"Samsung Galaxy S4 Blanc (i9500)";"8806085562042";"60.0000";"1";"465.0000";"";"";""
"0000025";"base";"Samsung Galaxy S3 4G Gris (i9305)";"";"50.0000";"1";"328.0000";"";"";""
"0000026";"base";"C6903 Xperia Z1 4G Noir";"7311271437581";"50.0000";"1";"501.0000";"";"";""
"0000027";"base";"C6903 Xperia Z1 4G Blanc";"7311271439141";"50.0000";"1";"501.0000";"";"";""
"0000028";"base";"N9005 32GB Galaxy Note 3 LTE Gris";"8806085759121";"300.0000";"1";"560.0000";"";"";""
"0000029";"base";"iPhone 3G 16Go reconditionné";"885909362059";"50.0000";"1";"99.0000";"";"";""
"0000030";"base";"iPad Mini WiFi 16Go blanc";"0885909667581";"50.0000";"1";"278.0000";"";"";""
"0000031";"base";"iPad Air WiFi 16Go noir";"0885909464517";"100.0000";"1";"458.0000";"";"";""
"0000032";"base";"iPad Air 4G 16Go Noir";"0885909657957";"100.0000";"1";"571.0000";"";"";""
"0000033";"base";"iPad Mini 2 WiFi 16Go Noir";"0885909666966";"50.0000";"1";"370.0000";"";"";""
"0000034";"base";"iPhone 3GS reconditionné";"0885909318551";"10.0000";"1";"119.0000";"";"";""
"0000035";"base";"Samsung Galaxy Tab 3 10 pouces 4G Brown Gold";"";"500.0000";"1";"375.0000";"";"";""
"0000036";"base";"Samsung Galaxy Tab 3.10 pouces 4G Blanc";"8806085718876";"495.0000";"0";"368.0000";"";"";""
"0000037";"base";"Samsung galaxy note 2 blanc (n7100)";"8806085265882";"200.0000";"1";"385.0000";"";"";""
"0000038";"base";"Samsung i8190 Galaxy S III mini noir";"8806085471832";"199.0000";"1";"205.0000";"";"";""
"0000039";"base";"Galaxy Tab 3 7 pouces WiFi Gold Brown";"";"50.0000";"1";"155.0000";"";"";""
"0000040";"base";"Google Nexus 7 2 4G";"4716659552468";"50.0000";"0";"500.0000";"";"";""
"0000041";"base";"iPhone 4 8GB Noir debloqué reconditionné";"5055147572946";"300.0000";"1";"137.0000";"";"";""
"0000042";"base";"Samsung N9005 32GB Galaxy Note 3 LTE Noir";"8806085759114";"50.0000";"1";"559.0000";"";"";""
