"Export Orders","Management Report"
"Orders Export","Orders Export"
"Order Date","Bestelldatum"
"First name","Name"
"Last Name","Vorname"
"Zip","PLZ"
"City","Ort"
"SKU","SKU"
"Product Name","Bezeichnung"
"Price netto","Preis netto"
"QTY Ordered","Anzahl"
"Subtotal netto","Zwischensumme netto"
"Export","Exportieren"
"From","Von"
"till","bis"
"Order Number","Bestellung #"
